起点省会,终点省会,路由,邮件量,总的邮件量
长春,石家庄,['长春-天津-石家庄'],[3],3
长春,太原,['长春-太原'],[13],13
长春,呼和浩特,['长春-天津-呼和浩特'],[1],1
长春,沈阳,"['长春-沈阳', '长春-天津-沈阳']","[17, 1]",18
长春,长春,[],[],0
长春,哈尔滨,"['长春-哈尔滨', '长春-哈尔滨-佳木斯-哈尔滨', '长春-哈尔滨-长春-哈尔滨', '长春-齐齐哈尔-哈尔滨', '长春-哈尔滨-牡丹江-哈尔滨']","[890, 4, 2, 1, 1]",898
长春,上海,['长春-上海'],[9],9
长春,南京,[],[],0
长春,杭州,['长春-杭州'],[4],4
长春,合肥,['长春-合肥'],[2],2
长春,福州,['长春-泉州-福州'],[3],3
长春,南昌,['长春-南昌'],[9],9
长春,济南,['长春-济南'],[10],10
长春,郑州,['长春-郑州'],[6],6
长春,武汉,"['长春-沈阳-武汉', '长春-天津-沈阳-武汉']","[4, 1]",5
长春,长沙,['长春-长沙'],[21],21
长春,广州,['长春-广州'],[23],23
长春,南宁,['长春-长沙-南宁'],[2],2
长春,海口,['长春-广州-海口'],[1],1
长春,重庆,['长春-沈阳-重庆'],[1],1
长春,成都,['长春-成都'],[5],5
长春,贵阳,['长春-长沙-贵阳'],[6],6
长春,昆明,['长春-长沙-昆明'],[4],4
长春,拉萨,[],[],0
长春,西安,['长春-太原-西安'],[3],3
长春,兰州,[],[],0
长春,西宁,[],[],0
长春,银川,[],[],0
长春,乌鲁木齐,[],[],0
哈尔滨,北京,"['哈尔滨-北京', '哈尔滨-北京-廊坊-北京', '哈尔滨-天津-北京']","[27, 1, 1]",29
哈尔滨,天津,"['哈尔滨-天津', '哈尔滨-沈阳-大连-天津']","[29, 1]",30
哈尔滨,石家庄,['哈尔滨-天津-石家庄'],[3],3
哈尔滨,太原,['哈尔滨-长春-太原'],[7],7
哈尔滨,呼和浩特,['哈尔滨-天津-呼和浩特'],[1],1
哈尔滨,沈阳,['哈尔滨-沈阳'],[39],39
哈尔滨,长春,"['哈尔滨-长春', '哈尔滨-长春-吉林-长春']","[71, 1]",72
哈尔滨,哈尔滨,[],[],0
哈尔滨,上海,['哈尔滨-苏州-上海'],[6],6
哈尔滨,南京,['哈尔滨-苏州-南京'],[2],2
哈尔滨,杭州,"['哈尔滨-杭州', '哈尔滨-牡丹江-哈尔滨-杭州']","[41, 1]",42
哈尔滨,合肥,['哈尔滨-苏州-合肥'],[3],3
哈尔滨,福州,['哈尔滨-长春-泉州-福州'],[2],2
哈尔滨,南昌,['哈尔滨-长春-南昌'],[4],4
哈尔滨,济南,['哈尔滨-济南'],[20],20
哈尔滨,郑州,['哈尔滨-郑州'],[10],10
哈尔滨,武汉,['哈尔滨-沈阳-武汉'],[5],5
哈尔滨,长沙,['哈尔滨-长春-长沙'],[13],13
哈尔滨,广州,"['哈尔滨-广州', '哈尔滨-长春-广州']","[72, 2]",74
哈尔滨,南宁,['哈尔滨-广州-南宁'],[2],2
哈尔滨,海口,['哈尔滨-长春-广州-海口'],[1],1
哈尔滨,重庆,[],[],0
哈尔滨,成都,"['哈尔滨-长春-成都', '哈尔滨-沈阳-成都', '哈尔滨-成都']","[2, 2, 1]",5
哈尔滨,贵阳,['哈尔滨-长春-长沙-贵阳'],[5],5
哈尔滨,昆明,"['哈尔滨-沈阳-昆明', '哈尔滨-长春-长沙-昆明']","[5, 2]",7
哈尔滨,拉萨,[],[],0
哈尔滨,西安,"['哈尔滨-北京-西安', '哈尔滨-济南-西安']","[2, 1]",3
哈尔滨,兰州,"['哈尔滨-北京-兰州', '哈尔滨-济南-兰州']","[1, 1]",2
哈尔滨,西宁,['哈尔滨-济南-兰州-西宁'],[1],1
哈尔滨,银川,[],[],0
哈尔滨,乌鲁木齐,[],[],0
上海,北京,"['上海-北京', '上海-天津-北京', '上海-北京-廊坊-北京', '上海-保定-邯郸-北京', '上海-北京-上海-北京']","[347, 6, 1, 1, 1]",356
上海,天津,"['上海-天津', '上海-天津-上海-天津', '上海-北京-天津']","[410, 1, 1]",412
上海,石家庄,"['上海-石家庄', '上海-保定-石家庄', '上海-太原-石家庄', '上海-苏州-石家庄', '上海-保定-上海-保定-石家庄', '上海-天津-石家庄']","[214, 186, 1, 1, 1, 2]",405
上海,太原,"['上海-太原', '上海-嘉兴-太原', '上海-郑州-临汾-太原', '上海-太原-吕梁-太原', '上海-临沂-太原', '上海-太原-临汾-太原', '上海-太原-长治-太原', '上海-太原-临汾-运城-太原']","[969, 3, 1, 3, 1, 7, 1, 1]",986
上海,呼和浩特,"['上海-淮安-呼和浩特', '上海-天津-呼和浩特', '上海-苏州-呼和浩特', '上海-呼和浩特', '上海-临沂-济南-呼和浩特']","[16, 4, 6, 7, 2]",35
上海,沈阳,"['上海-沈阳', '上海-沈阳-抚顺-沈阳', '上海-长春-沈阳', '上海-北京-沈阳', '上海-天津-沈阳', '上海-南昌-沈阳', '上海-天津-长春-沈阳', '上海-沈阳-锦州-沈阳']","[855, 2, 2, 1, 3, 1, 1, 1]",866
上海,长春,"['上海-长春', '上海-沈阳-长春', '上海-天津-长春']","[248, 49, 1]",298
上海,哈尔滨,"['上海-哈尔滨', '上海-沈阳-哈尔滨', '上海-长春-哈尔滨', '上海-北京-沈阳-哈尔滨', '上海-哈尔滨-佳木斯-哈尔滨', '上海-长沙-哈尔滨']","[290, 75, 7, 1, 3, 1]",377
上海,上海,[],[],0
上海,南京,"['上海-南京', '上海-南京-苏州-南京', '上海-苏州-南京']","[206, 1, 13]",220
上海,杭州,"['上海-杭州', '上海-嘉兴-杭州', '上海-杭州-宁波-杭州']","[431, 3, 1]",435
上海,合肥,"['上海-蚌埠-合肥', '上海-合肥', '上海-合肥-阜阳-合肥']","[2, 433, 1]",436
上海,福州,"['上海-福州', '上海-泉州-福州', '上海-厦门-福州', '上海-福州-上海-福州']","[259, 71, 2, 1]",333
上海,南昌,"['上海-南昌', '上海-南昌-上海-南昌', '上海-南昌-上饶-南昌', '上海-南昌-吉安-南昌', '上海-苏州-南昌']","[767, 2, 1, 1, 1]",772
上海,济南,"['上海-济南', '上海-临沂-济南']","[681, 232]",913
上海,郑州,"['上海-郑州', '上海-漯河-郑州', '上海-郑州-漯河-郑州', '上海-郑州-上海-郑州']","[1042, 59, 3, 1]",1105
上海,武汉,"['上海-武汉', '上海-武汉-黄冈-武汉', '上海-武汉-上海-武汉', '上海-武汉-上海-潜江-武汉', '上海-潜江-武汉', '上海-保定-武汉', '上海-武汉-孝感-武汉']","[841, 2, 8, 1, 1, 1, 2]",856
上海,长沙,"['上海-长沙', '上海-长沙-上海-长沙', '上海-广州-长沙', '上海-永州-长沙']","[718, 4, 1, 1]",724
上海,广州,"['上海-广州', '上海-广州-佛山-广州', '上海-广州-中山-广州', '上海-东莞-广州', '上海-佛山-广州', '上海-苏州-广州', '上海-苏州-广州-佛山-广州', '上海-广州-汕头-广州', '上海-广州-东莞-广州', '上海-苏州-上海-广州']","[2407, 92, 4, 3, 1, 1, 1, 1, 4, 1]",2515
上海,南宁,['上海-南宁'],[318],318
上海,海口,"['上海-海口', '上海-广州-海口', '上海-东莞-海口', '上海-东莞-上海-东莞-海口', '上海-东莞-海口-三亚-海口', '上海-广州-海口-三亚-海口']","[51, 17, 13, 1, 1, 2]",85
上海,重庆,"['上海-重庆', '上海-成都-重庆', '上海-重庆-达州-重庆']","[250, 12, 1]",263
上海,成都,"['上海-成都', '上海-长沙-成都', '上海-重庆-成都', '上海-成都-重庆-成都', '上海-广州-汕头-成都']","[373, 1, 1, 1, 3]",379
上海,贵阳,"['上海-贵阳', '上海-贵阳-安顺-贵阳', '上海-嘉兴-贵阳']","[114, 1, 1]",116
上海,昆明,"['上海-昆明', '上海-苏州-昆明', '上海-西安-昆明', '上海-昆明-临沧-昆明']","[172, 1, 1, 1]",175
上海,拉萨,['上海-杭州-拉萨'],[6],6
上海,西安,"['上海-西安', '上海-西安-宝鸡-西安', '上海-西安-商洛-西安', '上海-郑州-西安', '上海-淮安-西安', '上海-咸阳-西安', '上海-西安-咸阳-西安', '上海-渭南-西安']","[323, 2, 3, 1, 1, 1, 3, 1]",335
上海,兰州,"['上海-西安-兰州', '上海-兰州', '上海-锦州-兰州', '上海-苏州-上海-兰州', '上海-酒泉-兰州', '上海-兰州-酒泉-兰州']","[10, 71, 1, 1, 1, 1]",85
上海,西宁,"['上海-西宁', '上海-兰州-西宁', '上海-温州-西宁']","[43, 4, 4]",51
上海,银川,"['上海-银川', '上海-西安-银川', '上海-淮安-西安-银川']","[83, 4, 1]",88
上海,乌鲁木齐,"['上海-乌鲁木齐', '上海-西安-乌鲁木齐']","[12, 5]",17
南京,北京,['南京-北京'],[34],34
南京,天津,"['南京-淮安-天津', '南京-苏州-天津']","[7, 19]",26
南京,石家庄,"['南京-淮安-石家庄', '南京-苏州-石家庄']","[31, 4]",35
南京,太原,"['南京-太原', '南京-太原-临汾-太原', '南京-淮安-太原', '南京-郑州-太原']","[150, 4, 12, 1]",167
南京,呼和浩特,"['南京-苏州-呼和浩特', '南京-淮安-呼和浩特', '南京-合肥-苏州-呼和浩特']","[2, 4, 1]",7
南京,沈阳,"['南京-淮安-沈阳', '南京-苏州-沈阳', '南京-淮安-西安-沈阳', '南京-苏州-沈阳-抚顺-沈阳']","[96, 16, 1, 1]",114
南京,长春,['南京-淮安-长春'],[34],34
南京,哈尔滨,"['南京-淮安-哈尔滨', '南京-苏州-哈尔滨']","[26, 7]",33
南京,上海,['南京-上海'],[44],44
南京,南京,[],[],0
南京,杭州,['南京-杭州'],[56],56
南京,合肥,"['南京-合肥', '南京-芜湖-合肥', '南京-蚌埠-合肥', '南京-苏州-合肥', '南京-合肥-阜阳-合肥']","[129, 4, 3, 1, 1]",138
南京,福州,['南京-泉州-福州'],[40],40
南京,南昌,['南京-南昌'],[211],211
南京,济南,"['南京-临沂-济南', '南京-淮安-临沂-济南', '南京-济南']","[24, 2, 15]",41
南京,郑州,"['南京-郑州', '南京-郑州-洛阳-郑州']","[308, 1]",309
南京,武汉,"['南京-武汉', '南京-荆州-武汉', '南京-武汉-南京-武汉', '南京-武汉-天门-武汉', '南京-武汉-孝感-武汉']","[279, 2, 1, 1, 1]",284
南京,长沙,"['南京-长沙', '南京-长沙-湘潭-长沙']","[545, 1]",546
南京,广州,"['南京-广州', '南京-广州-佛山-广州', '南京-东莞-广州']","[331, 15, 1]",347
南京,南宁,"['南京-南宁', '南京-桂林-南宁']","[177, 30]",207
南京,海口,['南京-上海-海口'],[4],4
南京,重庆,"['南京-重庆', '南京-重庆-泸州-重庆']","[134, 1]",135
南京,成都,"['南京-成都', '南京-成都-南充-成都', '南京-重庆-成都']","[130, 1, 3]",134
南京,贵阳,['南京-贵阳'],[192],192
南京,昆明,['南京-昆明'],[111],111
南京,拉萨,[],[],0
南京,西安,"['南京-西安', '南京-西安-铜川-西安', '南京-淮安-西安', '南京-苏州-西安', '南京-淮安-保定-西安', '南京-西安-渭南-西安']","[113, 1, 1, 1, 1, 1]",118
南京,兰州,"['南京-兰州', '南京-南通-南京-兰州']","[84, 3]",87
南京,西宁,['南京-西安-西宁'],[3],3
南京,银川,['南京-西安-银川'],[10],10
南京,乌鲁木齐,"['南京-西安-乌鲁木齐', '南京-乌鲁木齐', '南京-昌吉回族自治州-乌鲁木齐', '南京-乌鲁木齐-阿拉尔-乌鲁木齐']","[8, 67, 1, 1]",77
杭州,北京,"['杭州-北京', '杭州-石家庄-北京', '杭州-嘉兴-杭州-北京']","[733, 3, 1]",737
杭州,天津,"['杭州-天津', '杭州-嘉兴-杭州-天津', '杭州-天津-唐山-天津', '杭州-温州-天津', '杭州-天津-廊坊-天津']","[851, 2, 1, 6, 2]",862
杭州,石家庄,"['杭州-保定-石家庄', '杭州-湖州-杭州-保定-石家庄', '杭州-宁波-杭州-保定-石家庄', '杭州-嘉兴-保定-石家庄', '杭州-保定-石家庄-保定-石家庄', '杭州-嘉兴-杭州-保定-石家庄', '杭州-石家庄', '杭州-石家庄-北京-廊坊-石家庄']","[392, 1, 1, 2, 3, 1, 8, 2]",410
杭州,太原,"['杭州-温州-太原', '杭州-太原', '杭州-嘉兴-太原', '杭州-温州-太原-杭州-太原', '杭州-上海-嘉兴-太原', '杭州-嘉兴-太原-临汾-太原', '杭州-太原-临汾-太原', '杭州-太原-临汾-太原-运城-太原', '杭州-太原-运城-太原']","[17, 1513, 243, 2, 3, 3, 8, 2, 1]",1792
杭州,呼和浩特,"['杭州-呼和浩特', '杭州-嘉兴-呼和浩特']","[104, 23]",127
杭州,沈阳,"['杭州-沈阳', '杭州-嘉兴-沈阳', '杭州-宁波-沈阳', '杭州-温州-沈阳', '杭州-青岛-沈阳', '杭州-西安-沈阳', '杭州-沈阳-盘锦-沈阳', '杭州-厦门-泉州-沈阳', '杭州-沈阳-通辽-沈阳']","[622, 19, 1, 1, 1, 1, 1, 1, 1]",648
杭州,长春,"['杭州-长春', '杭州-沈阳-长春', '杭州-嘉兴-沈阳-长春']","[242, 44, 2]",288
